TCID_GeneID	Probeset	AnnotationExon	AnnotationG_a	AnnotationG_b
TC1500264_GANC	JUC1500017983	ENSE00003510695|ENSE00003509354//ENSE00003528412|ENSE00003532906	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500017989	ENSE00000942543|ENSE00001107564	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	JUC1500018101	ENSE00001771657|ENSE00001709596//*ENSE00002624495	ENSG00000214013|ENSG00000214013//*ENSG00000214013	GANC|GANC//*GANC
TC1500264_GANC	JUC1500018144	ENSE00003543736|ENSE00003461514//ENSE00003598003|ENSE00003577541	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500018211	ENSE00003535383|ENSE00002624495//*ENSE00002591491//*ENSE00003562185//*ENSE00001709596//*ENSE00003535383	ENSG00000214013|ENSG00000214013//*ENSG00000214013//*ENSG00000214013//*ENSG00000214013//*ENSG00000214013	GANC|GANC//*GANC//*GANC//*GANC//*GANC
TC1500264_GANC	JUC1500018226	ENSE00001204813|ENSE00001149091	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	JUC1500018258	ENSE00003586961|ENSE00002620184//ENSE00003586961|ENSE00003510695//ENSE00003585495|ENSE00003528412	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500018269	ENSE00003617343|ENSE00003575615//ENSE00003580908|ENSE00003590587	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500018417	ENSE00003575521|ENSE00003546543//ENSE00003651891|ENSE00003632054	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500018493	ENSE00001204816|ENSE00001204813	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	JUC1500018494	ENSE00003509354|ENSE00003617343//ENSE00003532906|ENSE00003580908	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500018504	ENSE00003562185|ENSE00001771657//ENSE00003535383|ENSE00002603234//*ENSE00002591491//*ENSE00003562185//*ENSE00003535383	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//*ENSG00000214013//*ENSG00000214013//*ENSG00000214013	GANC|GANC//GANC|GANC//*GANC//*GANC//*GANC
TC1500264_GANC	JUC1500018682	ENSE00003623224|ENSE00001427845//ENSE00003661079|ENSE00002394004//ENSE00003661079|ENSE00002578023	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500018692	ENSE00001204856|ENSE00002591491//ENSE00001204856|ENSE00003562185//ENSE00002629856|ENSE00003535383//ENSE00002627824|ENSE00003535383//*ENSE00001204856//*ENSE00003535383	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//*ENSG00000214013//*ENSG00000214013	GANC|GANC//GANC|GANC//GANC|GANC//GANC|GANC//*GANC//*GANC
TC1500264_GANC	JUC1500018964	ENSE00003800138|ENSE00001204856//ENSE00001934013|ENSE00001204856//ENSE00002622205|ENSE00001204856//ENSE00002588307|ENSE00001204856//*ENSE00003800138//*ENSE00002629856//*ENSE00002627824	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//*ENSG00000214013//*ENSG00000214013//*ENSG00000214013	GANC|GANC//GANC|GANC//GANC|GANC//GANC|GANC//*GANC//*GANC//*GANC
TC1500264_GANC	JUC1500018975	ENSE00003546543|ENSE00003623224//ENSE00003632054|ENSE00003661079	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500019016	ENSE00001149171|ENSE00001204816//*ENSE00002621004	ENSG00000214013|ENSG00000214013//*ENSG00000214013	GANC|GANC//*GANC
TC1500264_GANC	JUC1500019260	ENSE00001107564|ENSE00003471892//*ENSE00003626715	ENSG00000214013|ENSG00000214013//*ENSG00000214013	GANC|GANC//*GANC
TC1500264_GANC	JUC1500019360	ENSE00003497049|ENSE00003462815//ENSE00003625569|ENSE00003543239	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500019400	*ENSE00002608724//*ENSE00003800138//*ENSE00002613445	*ENSG00000214013//*ENSG00000214013//*ENSG00000214013	*GANC//*GANC//*GANC
TC1500264_GANC_CAPN3	JUC1500018865	*ENSE00001427845//*ENSE00003476707//*ENSE00003800434	*ENSG00000214013//*ENSG00000092529//*ENSG00000092529	*GANC//*CAPN3//*CAPN3
